timestamp,total_mb,used_mb,available_mb,use_percent
1726971061,3753977,113445,3485548,4
1726971062,3753977,113445,3485548,4
1726971063,3753977,113445,3485548,4
1726971064,3753977,113445,3485548,4
1726971065,3753977,113445,3485548,4
1726971066,3753977,113445,3485548,4
1726971068,3753977,113445,3485548,4
1726971069,3753977,113445,3485548,4
1726971070,3753977,113445,3485548,4
1726971071,3753977,113445,3485548,4
1726971072,3753977,113445,3485548,4
1726971073,3753977,113445,3485548,4
1726971074,3753977,113445,3485548,4
1726971075,3753977,113445,3485548,4
1726971076,3753977,113445,3485548,4
1726971077,3753977,113445,3485548,4
1726971078,3753977,113445,3485548,4
1726971079,3753977,113445,3485548,4
1726971080,3753977,113445,3485548,4
1726971081,3753977,113445,3485548,4
1726971082,3753977,113445,3485548,4
1726971083,3753977,113445,3485548,4
1726971084,3753977,113445,3485548,4
1726971085,3753977,113445,3485548,4
1726971086,3753977,113445,3485548,4
1726971087,3753977,113445,3485548,4
1726971088,3753977,113445,3485548,4
1726971089,3753977,113445,3485548,4
1726971090,3753977,113445,3485548,4
1726971091,3753977,113445,3485548,4
1726971092,3753977,113445,3485548,4
1726971093,3753977,113445,3485548,4
1726971094,3753977,113445,3485548,4
1726971095,3753977,113445,3485548,4
1726971096,3753977,113445,3485548,4
1726971097,3753977,113445,3485548,4
1726971098,3753977,113445,3485548,4
1726971099,3753977,113445,3485548,4
1726971101,3753977,113445,3485548,4
1726971102,3753977,113445,3485548,4
1726971103,3753977,113445,3485548,4
1726971104,3753977,113445,3485548,4
1726971105,3753977,113445,3485548,4
1726971106,3753977,113445,3485548,4
1726971107,3753977,113445,3485548,4
1726971108,3753977,113445,3485548,4
1726971109,3753977,113445,3485548,4
1726971110,3753977,113445,3485548,4
1726971111,3753977,113445,3485548,4
1726971112,3753977,113445,3485548,4
1726971113,3753977,113445,3485548,4
1726971114,3753977,113445,3485548,4
1726971115,3753977,113445,3485548,4
1726971116,3753977,113445,3485548,4
1726971117,3753977,113445,3485548,4
1726971118,3753977,113445,3485548,4
1726971119,3753977,113445,3485548,4
1726971120,3753977,113445,3485548,4
1726971121,3753977,113445,3485548,4
1726971122,3753977,113445,3485548,4
1726971123,3753977,113445,3485548,4
1726971124,3753977,113445,3485548,4
1726971125,3753977,113445,3485548,4
1726971126,3753977,113445,3485548,4
1726971127,3753977,113445,3485547,4
1726971128,3753977,113445,3485547,4
1726971129,3753977,113445,3485547,4
1726971130,3753977,113445,3485547,4
1726971131,3753977,113445,3485547,4
1726971132,3753977,113445,3485547,4
1726971134,3753977,113445,3485547,4
1726971135,3753977,113445,3485547,4
1726971136,3753977,113445,3485547,4
1726971137,3753977,113445,3485547,4
1726971138,3753977,113445,3485547,4
1726971139,3753977,113445,3485547,4
1726971140,3753977,113445,3485547,4
1726971141,3753977,113445,3485547,4
1726971142,3753977,113445,3485547,4
1726971143,3753977,113445,3485547,4
1726971144,3753977,113445,3485547,4
1726971145,3753977,113445,3485547,4
1726971146,3753977,113445,3485547,4
1726971147,3753977,113445,3485547,4
1726971148,3753977,113445,3485547,4
1726971149,3753977,113445,3485547,4
1726971150,3753977,113445,3485547,4
1726971151,3753977,113445,3485547,4
1726971152,3753977,113445,3485547,4
1726971153,3753977,113445,3485547,4
1726971154,3753977,113445,3485547,4
1726971155,3753977,113445,3485547,4
1726971156,3753977,113445,3485547,4
1726971157,3753977,113445,3485547,4
1726971158,3753977,113445,3485547,4
1726971159,3753977,113445,3485547,4
1726971160,3753977,113445,3485547,4
1726971161,3753977,113445,3485547,4
1726971162,3753977,113445,3485547,4
1726971163,3753977,113445,3485547,4
1726971164,3753977,113445,3485547,4
1726971165,3753977,113445,3485547,4
1726971167,3753977,113445,3485547,4
1726971168,3753977,113445,3485547,4
1726971169,3753977,113445,3485547,4
1726971170,3753977,113445,3485547,4
1726971171,3753977,113445,3485547,4
1726971172,3753977,113445,3485547,4
1726971173,3753977,113445,3485547,4
1726971174,3753977,113445,3485547,4
1726971175,3753977,113445,3485547,4
1726971176,3753977,113445,3485547,4
1726971177,3753977,113445,3485547,4
1726971178,3753977,113445,3485547,4
1726971179,3753977,113445,3485547,4
1726971180,3753977,113445,3485547,4
1726971181,3753977,113445,3485547,4
1726971182,3753977,113445,3485547,4
1726971183,3753977,113445,3485547,4
1726971184,3753977,113445,3485547,4
1726971185,3753977,113445,3485547,4
1726971186,3753977,113445,3485547,4
1726971187,3753977,113445,3485547,4
1726971188,3753977,113445,3485547,4
1726971189,3753977,113445,3485547,4
1726971190,3753977,113445,3485547,4
1726971191,3753977,113446,3485547,4
1726971192,3753977,113446,3485547,4
1726971193,3753977,113446,3485547,4
1726971194,3753977,113446,3485547,4
1726971195,3753977,113446,3485547,4
1726971196,3753977,113446,3485547,4
1726971197,3753977,113446,3485547,4
1726971198,3753977,113446,3485547,4
1726971199,3753977,113446,3485547,4
1726971200,3753977,113446,3485547,4
1726971201,3753977,113446,3485547,4
1726971202,3753977,113446,3485547,4
1726971204,3753977,113446,3485546,4
1726971205,3753977,113446,3485546,4
1726971206,3753977,113447,3485545,4
1726971207,3753977,113446,3485546,4
1726971208,3753977,113446,3485546,4
1726971209,3753977,113501,3485492,4
1726971210,3753977,113511,3485481,4
1726971211,3753977,113511,3485481,4
1726971212,3753977,113511,3485481,4
1726971213,3753977,113511,3485481,4
1726971214,3753977,113511,3485481,4
1726971215,3753977,113591,3485401,4
1726971216,3753977,113711,3485281,4
1726971217,3753977,113835,3485158,4
1726971218,3753977,113957,3485035,4
1726971220,3753977,114079,3484913,4
1726971221,3753977,114202,3484791,4
1726971222,3753977,114323,3484670,4
1726971223,3753977,114442,3484550,4
1726971224,3753977,114561,3484432,4
1726971225,3753977,114693,3484299,4
1726971226,3753977,114812,3484180,4
1726971227,3753977,114930,3484062,4
1726971228,3753977,115050,3483942,4
1726971229,3753977,115168,3483824,4
1726971231,3753977,115282,3483710,4
1726971232,3753977,115401,3483592,4
1726971233,3753977,115519,3483474,4
1726971234,3753977,115636,3483357,4
1726971235,3753977,115753,3483239,4
1726971236,3753977,115872,3483121,4
1726971237,3753977,115991,3483002,4
1726971238,3753977,116108,3482884,4
1726971239,3753977,116163,3482829,4
1726971240,3753977,116230,3482763,4
1726971241,3753977,116306,3482686,4
1726971242,3753977,116398,3482594,4
1726971244,3753977,116492,3482500,4
1726971245,3753977,116586,3482406,4
1726971246,3753977,116634,3482358,4
1726971247,3753977,116656,3482336,4
1726971248,3753977,116302,3482690,4
1726971249,3753977,116294,3482699,4
1726971250,3753977,116339,3482654,4
1726971251,3753977,116391,3482601,4
1726971252,3753977,116485,3482508,4
1726971253,3753977,116564,3482428,4
1726971254,3753977,116661,3482332,4
1726971256,3753977,116757,3482236,4
1726971257,3753977,116840,3482152,4
1726971258,3753977,116919,3482073,4
1726971259,3753977,117008,3481984,4
1726971260,3753977,117086,3481906,4
1726971261,3753977,117186,3481807,4
