Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726971061,128,0,0,128,0,0,0,0
1726971062,128,0,0,128,0,0,0,0
1726971063,128,0,0,128,0,0,0,0
1726971064,128,0,0,128,0,0,0,0
1726971066,128,0,0,128,0,0,0,0
1726971067,128,0,0,128,0,0,0,0
1726971068,128,0,0,128,0,0,0,0
1726971069,128,0,0,128,0,0,0,0
1726971070,128,0,0,128,0,0,0,0
1726971071,128,0,0,128,0,0,0,0
1726971072,128,0,0,128,0,0,0,0
1726971073,128,0,0,128,0,0,0,0
1726971074,128,0,0,128,0,0,0,0
1726971075,128,0,0,128,0,0,0,0
1726971076,128,0,0,128,0,0,0,0
1726971077,128,0,0,128,0,0,0,0
1726971078,128,0,0,128,0,0,0,0
1726971079,128,0,0,128,0,0,0,0
1726971080,128,0,0,128,0,0,0,0
1726971081,128,0,0,128,0,0,0,0
1726971082,128,0,0,128,0,0,0,0
1726971083,128,0,0,128,0,0,0,0
1726971084,128,0,0,128,0,0,0,0
1726971085,128,0,0,128,0,0,0,0
1726971086,128,0,0,128,0,0,0,0
1726971088,128,0,0,128,0,0,0,0
1726971089,128,0,0,128,0,0,0,0
1726971090,128,0,0,128,0,0,0,0
1726971091,128,0,0,128,0,0,0,0
1726971092,128,0,0,128,0,0,0,0
1726971093,128,0,0,128,0,0,0,0
1726971094,128,0,0,128,0,0,0,0
1726971095,128,0,0,128,0,0,0,0
1726971096,128,0,0,128,0,0,0,0
1726971097,128,0,0,128,0,0,0,0
1726971098,128,0,0,128,0,0,0,0
1726971099,128,0,0,128,0,0,0,0
1726971100,128,0,0,128,0,0,0,0
1726971101,128,0,0,128,0,0,0,0
1726971102,128,0,0,128,0,0,0,0
1726971103,128,0,0,128,0,0,0,0
1726971104,128,0,0,128,0,0,0,0
1726971105,128,0,0,128,0,0,0,0
1726971106,128,0,0,128,0,0,0,0
1726971107,128,0,0,128,0,0,0,0
1726971108,128,0,0,128,0,0,0,0
1726971110,128,0,0,128,0,0,0,0
1726971111,128,0,0,128,0,0,0,0
1726971112,128,0,0,128,0,0,0,0
1726971113,128,0,0,128,0,0,0,0
1726971114,128,0,0,128,0,0,0,0
1726971115,128,0,0,128,0,0,0,0
1726971116,128,0,0,128,0,0,0,0
1726971117,128,0,0,128,0,0,0,0
1726971118,128,0,0,128,0,0,0,0
1726971119,128,0,0,128,0,0,0,0
1726971120,128,0,0,128,0,0,0,0
1726971121,128,0,0,128,0,0,0,0
1726971122,128,0,0,128,0,0,0,0
1726971123,128,0,0,128,0,0,0,0
1726971124,128,0,0,128,0,0,0,0
1726971125,128,0,0,128,0,0,0,0
1726971126,128,0,0,128,0,0,0,0
1726971127,128,0,0,128,0,0,0,0
1726971128,128,0,0,128,0,0,0,0
1726971129,128,0,0,128,0,0,0,0
1726971130,128,0,0,128,0,0,0,0
1726971131,128,0,0,128,0,0,0,0
1726971133,128,0,0,128,0,0,0,0
1726971134,128,0,0,128,0,0,0,0
1726971135,128,0,0,128,0,0,0,0
1726971136,128,0,0,128,0,0,0,0
1726971137,128,0,0,128,0,0,0,0
1726971138,128,0,0,128,0,0,0,0
1726971139,128,0,0,128,0,0,0,0
1726971140,128,0,0,128,0,0,0,0
1726971141,128,0,0,128,0,0,0,0
1726971142,128,0,0,128,0,0,0,0
1726971143,128,0,0,128,0,0,0,0
1726971144,128,0,0,128,0,0,0,0
1726971145,128,0,0,128,0,0,0,0
1726971146,128,0,0,128,0,0,0,0
1726971147,128,0,0,128,0,0,0,0
1726971148,128,0,0,128,0,0,0,0
1726971149,128,0,0,128,0,0,0,0
1726971150,128,0,0,128,0,0,0,0
1726971151,128,0,0,128,0,0,0,0
1726971152,128,0,0,128,0,0,0,0
1726971153,128,0,0,128,0,0,0,0
1726971154,128,0,0,128,0,0,0,0
1726971156,128,0,0,128,0,0,0,0
1726971157,128,0,0,128,0,0,0,0
1726971158,128,0,0,128,0,0,0,0
1726971159,128,0,0,128,0,0,0,0
1726971160,128,0,0,128,0,0,0,0
1726971161,128,0,0,128,0,0,0,0
1726971162,128,0,0,128,0,0,0,0
1726971163,128,0,0,128,0,0,0,0
1726971164,128,0,0,128,0,0,0,0
1726971165,128,0,0,128,0,0,0,0
1726971166,128,0,0,128,0,0,0,0
1726971167,128,0,0,128,0,0,0,0
1726971168,128,0,0,128,0,0,0,0
1726971169,128,0,0,128,0,0,0,0
1726971170,128,0,0,128,0,0,0,0
1726971171,128,0,0,128,0,0,0,0
1726971172,128,0,0,128,0,0,0,0
1726971173,128,0,0,128,0,0,0,0
1726971174,128,0,0,128,0,0,0,0
1726971176,128,0,0,128,0,0,0,0
1726971177,128,0,0,128,0,0,0,0
1726971178,128,0,0,128,0,0,0,0
1726971179,128,0,0,128,0,0,0,0
1726971180,128,0,0,128,0,0,0,0
1726971181,128,0,0,128,0,0,0,0
1726971182,128,0,0,128,0,0,0,0
1726971183,128,0,0,128,0,0,0,0
1726971184,128,0,0,128,0,0,0,0
1726971185,128,0,0,128,0,0,0,0
1726971186,128,0,0,128,0,0,0,0
1726971187,128,0,0,128,0,0,0,0
1726971188,128,0,0,128,0,0,0,0
1726971189,128,0,0,128,0,0,0,0
1726971190,128,0,0,128,0,0,0,0
1726971191,128,0,0,128,0,0,0,0
1726971192,128,0,0,128,0,0,0,0
1726971193,128,0,0,128,0,0,0,0
1726971194,128,0,0,128,0,0,0,0
1726971195,128,0,0,128,0,0,0,0
1726971196,128,0,0,128,0,0,0,0
1726971197,128,0,0,128,0,0,0,0
1726971199,128,0,0,128,0,0,0,0
1726971200,128,0,0,128,0,0,0,0
1726971201,128,0,0,128,0,0,0,0
1726971202,128,0,0,128,0,0,0,0
1726971203,128,0,0,128,0,0,0,0
1726971204,128,0,0,128,0,0,0,0
1726971205,128,0,0,128,0,0,0,0
1726971206,128,0,0,128,0,0,0,0
1726971207,128,0,0,128,0,0,0,0
1726971208,128,0,0,128,0,0,0,0
1726971209,128,0,0,128,0,0,0,0
1726971210,128,0,0,128,0,0,0,0
1726971211,128,0,0,128,0,0,0,0
1726971212,128,0,0,128,0,0,0,0
1726971214,128,0,0,128,0,0,0,0
1726971215,128,0,0,128,0,0,0,0
1726971216,128,0,0,128,0,0,0,0
1726971217,128,0,0,128,0,0,0,0
1726971218,128,0,0,128,0,0,0,0
1726971219,128,0,0,128,0,0,0,0
1726971221,128,0,0,128,0,0,0,0
1726971222,128,0,0,128,0,0,0,0
1726971223,128,0,0,128,0,0,0,0
1726971224,128,0,0,128,0,0,0,0
1726971225,128,0,0,128,0,0,0,0
1726971226,128,0,0,128,0,0,0,0
1726971227,128,0,0,128,0,0,0,0
1726971229,128,0,0,128,0,0,0,0
1726971230,128,0,0,128,0,0,0,0
1726971231,128,0,0,128,0,0,0,0
1726971232,128,0,0,128,0,0,0,0
1726971233,128,0,0,128,0,0,0,0
1726971234,128,0,0,128,0,0,0,0
1726971235,128,0,0,128,0,0,0,0
1726971236,128,0,0,128,0,0,0,0
1726971238,128,0,0,128,0,0,0,0
1726971239,128,0,0,128,0,0,0,0
1726971240,128,0,5,123,0,0,0,0
1726971241,128,0,5,123,0,0,0,0
1726971242,128,0,5,123,0,0,0,0
1726971243,128,0,5,123,0,0,0,0
1726971244,128,0,5,123,0,0,0,0
1726971245,128,0,5,123,0,0,0,0
1726971246,128,0,5,123,0,0,0,0
1726971247,128,0,5,123,0,0,0,0
1726971248,128,0,5,123,0,0,0,0
1726971249,128,0,5,123,0,0,0,0
1726971250,128,0,5,123,0,0,0,0
1726971252,128,0,5,123,0,0,0,0
1726971253,128,0,5,123,0,0,0,0
1726971254,128,0,5,123,0,0,0,0
1726971255,128,0,5,123,0,0,0,0
1726971256,128,0,5,123,0,0,0,0
1726971258,128,0,5,123,0,0,0,0
1726971259,128,0,5,123,0,0,0,0
1726971260,128,0,50,78,0,0,0,0
1726971261,128,0,50,78,0,0,0,0
1726971262,128,0,50,78,0,0,0,0
1726971263,128,0,50,78,0,0,0,0
1726971264,128,0,50,78,0,0,0,0
1726971266,128,0,50,78,0,0,0,0
1726971267,128,0,50,78,0,0,0,0
1726971268,128,0,50,78,0,0,0,0
