Timestamp,Jobs,Completed,Removed,Idle,Running,Held,Suspended
1726971061,0,0,0,0,0,0,0
1726971062,0,0,0,0,0,0,0
1726971063,0,0,0,0,0,0,0
1726971064,0,0,0,0,0,0,0
1726971066,0,0,0,0,0,0,0
1726971067,0,0,0,0,0,0,0
1726971068,0,0,0,0,0,0,0
1726971069,0,0,0,0,0,0,0
1726971070,0,0,0,0,0,0,0
1726971071,0,0,0,0,0,0,0
1726971072,0,0,0,0,0,0,0
1726971073,0,0,0,0,0,0,0
1726971074,0,0,0,0,0,0,0
1726971075,0,0,0,0,0,0,0
1726971076,0,0,0,0,0,0,0
1726971077,0,0,0,0,0,0,0
1726971078,0,0,0,0,0,0,0
1726971079,0,0,0,0,0,0,0
1726971080,0,0,0,0,0,0,0
1726971081,0,0,0,0,0,0,0
1726971082,0,0,0,0,0,0,0
1726971083,0,0,0,0,0,0,0
1726971084,0,0,0,0,0,0,0
1726971085,0,0,0,0,0,0,0
1726971086,0,0,0,0,0,0,0
1726971088,0,0,0,0,0,0,0
1726971089,0,0,0,0,0,0,0
1726971090,0,0,0,0,0,0,0
1726971091,0,0,0,0,0,0,0
1726971092,0,0,0,0,0,0,0
1726971093,0,0,0,0,0,0,0
1726971094,0,0,0,0,0,0,0
1726971095,0,0,0,0,0,0,0
1726971096,0,0,0,0,0,0,0
1726971097,0,0,0,0,0,0,0
1726971098,0,0,0,0,0,0,0
1726971099,0,0,0,0,0,0,0
1726971100,0,0,0,0,0,0,0
1726971101,0,0,0,0,0,0,0
1726971102,0,0,0,0,0,0,0
1726971103,0,0,0,0,0,0,0
1726971104,0,0,0,0,0,0,0
1726971105,0,0,0,0,0,0,0
1726971106,0,0,0,0,0,0,0
1726971107,0,0,0,0,0,0,0
1726971108,0,0,0,0,0,0,0
1726971110,0,0,0,0,0,0,0
1726971111,0,0,0,0,0,0,0
1726971112,0,0,0,0,0,0,0
1726971113,0,0,0,0,0,0,0
1726971114,0,0,0,0,0,0,0
1726971115,0,0,0,0,0,0,0
1726971116,0,0,0,0,0,0,0
1726971117,0,0,0,0,0,0,0
1726971118,0,0,0,0,0,0,0
1726971119,0,0,0,0,0,0,0
1726971120,0,0,0,0,0,0,0
1726971121,0,0,0,0,0,0,0
1726971122,0,0,0,0,0,0,0
1726971123,0,0,0,0,0,0,0
1726971124,0,0,0,0,0,0,0
1726971125,0,0,0,0,0,0,0
1726971126,0,0,0,0,0,0,0
1726971127,0,0,0,0,0,0,0
1726971128,0,0,0,0,0,0,0
1726971129,0,0,0,0,0,0,0
1726971130,0,0,0,0,0,0,0
1726971131,0,0,0,0,0,0,0
1726971133,0,0,0,0,0,0,0
1726971134,0,0,0,0,0,0,0
1726971135,0,0,0,0,0,0,0
1726971136,0,0,0,0,0,0,0
1726971137,0,0,0,0,0,0,0
1726971138,0,0,0,0,0,0,0
1726971139,0,0,0,0,0,0,0
1726971140,0,0,0,0,0,0,0
1726971141,0,0,0,0,0,0,0
1726971142,0,0,0,0,0,0,0
1726971143,0,0,0,0,0,0,0
1726971144,0,0,0,0,0,0,0
1726971145,0,0,0,0,0,0,0
1726971146,0,0,0,0,0,0,0
1726971147,0,0,0,0,0,0,0
1726971148,0,0,0,0,0,0,0
1726971149,0,0,0,0,0,0,0
1726971150,0,0,0,0,0,0,0
1726971151,0,0,0,0,0,0,0
1726971152,0,0,0,0,0,0,0
1726971153,0,0,0,0,0,0,0
1726971154,0,0,0,0,0,0,0
1726971156,0,0,0,0,0,0,0
1726971157,0,0,0,0,0,0,0
1726971158,0,0,0,0,0,0,0
1726971159,0,0,0,0,0,0,0
1726971160,0,0,0,0,0,0,0
1726971161,0,0,0,0,0,0,0
1726971162,0,0,0,0,0,0,0
1726971163,0,0,0,0,0,0,0
1726971164,0,0,0,0,0,0,0
1726971165,0,0,0,0,0,0,0
1726971166,0,0,0,0,0,0,0
1726971167,0,0,0,0,0,0,0
1726971168,0,0,0,0,0,0,0
1726971169,0,0,0,0,0,0,0
1726971170,0,0,0,0,0,0,0
1726971171,0,0,0,0,0,0,0
1726971172,0,0,0,0,0,0,0
1726971173,0,0,0,0,0,0,0
1726971174,0,0,0,0,0,0,0
1726971176,0,0,0,0,0,0,0
1726971177,0,0,0,0,0,0,0
1726971178,0,0,0,0,0,0,0
1726971179,0,0,0,0,0,0,0
1726971180,0,0,0,0,0,0,0
1726971181,0,0,0,0,0,0,0
1726971182,0,0,0,0,0,0,0
1726971183,0,0,0,0,0,0,0
1726971184,1,0,0,1,0,0,0
1726971185,1,0,0,1,0,0,0
1726971186,1,0,0,1,0,0,0
1726971187,1,0,0,1,0,0,0
1726971188,1,0,0,0,1,0,0
1726971189,1,0,0,0,1,0,0
1726971190,5,0,0,4,1,0,0
1726971191,4,0,0,0,4,0,0
1726971192,4,0,0,0,4,0,0
1726971193,0,0,0,0,0,0,0
1726971194,0,0,0,0,0,0,0
1726971195,0,0,0,0,0,0,0
1726971196,0,0,0,0,0,0,0
1726971197,0,0,0,0,0,0,0
1726971199,0,0,0,0,0,0,0
1726971200,1,0,0,1,0,0,0
1726971201,1,0,0,1,0,0,0
1726971202,1,0,0,1,0,0,0
1726971203,1,0,0,0,1,0,0
1726971204,46,0,0,45,1,0,0
1726971205,50,0,0,49,1,0,0
1726971206,49,0,0,6,43,0,0
1726971207,49,0,0,0,49,0,0
1726971208,38,0,0,0,38,0,0
1726971209,21,0,0,0,21,0,0
1726971210,10,0,0,0,10,0,0
1726971212,5,0,0,0,5,0,0
1726971213,5,0,0,0,5,0,0
1726971214,5,0,0,0,5,0,0
1726971215,5,0,0,0,5,0,0
1726971216,5,0,0,0,5,0,0
1726971217,5,0,0,0,5,0,0
1726971218,5,0,0,0,5,0,0
1726971220,14,0,0,9,5,0,0
1726971223,33,0,0,26,7,0,0
1726971226,41,0,0,26,15,0,0
1726971227,41,0,0,14,27,0,0
1726971228,41,0,0,9,32,0,0
1726971230,40,0,0,5,35,0,0
1726971231,40,3,0,13,24,0,0
1726971233,35,0,0,5,30,0,0
1726971234,33,0,0,5,28,0,0
1726971235,32,0,0,5,27,0,0
1726971236,32,0,0,5,27,0,0
1726971238,28,0,0,5,23,0,0
1726971239,22,0,0,0,22,0,0
1726971240,24,0,0,0,24,0,0
1726971241,17,0,0,0,17,0,0
1726971242,25,0,0,0,25,0,0
1726971243,26,0,0,0,26,0,0
1726971244,24,0,0,0,24,0,0
1726971245,23,0,0,0,23,0,0
1726971246,35,0,0,5,30,0,0
1726971247,29,0,0,0,29,0,0
1726971248,34,0,0,0,34,0,0
1726971249,42,0,0,5,37,0,0
1726971251,46,0,0,5,41,0,0
1726971252,77,0,0,36,41,0,0
1726971253,95,0,0,54,41,0,0
