Timestamp,Total,Used,Free,Shared,Buffers,Available
1727143422,31725,612,30327,0,784,30667
1727143423,31725,614,30326,0,784,30666
1727143424,31725,615,30325,0,784,30665
1727143425,31725,613,30327,0,784,30666
1727143426,31725,615,30324,0,784,30664
1727143427,31725,615,30325,0,784,30664
1727143428,31725,615,30325,0,784,30664
1727143429,31725,615,30324,0,784,30664
1727143430,31725,616,30324,0,784,30663
1727143431,31725,616,30324,0,784,30663
1727143432,31725,616,30324,0,784,30663
1727143433,31725,617,30323,0,784,30662
1727143434,31725,617,30323,0,784,30662
1727143435,31725,617,30322,0,784,30662
1727143436,31725,618,30322,0,784,30661
1727143437,31725,617,30323,0,784,30662
1727143438,31725,618,30322,0,784,30661
1727143439,31725,617,30323,0,784,30663
1727143440,31725,617,30322,0,784,30662
1727143441,31725,627,30312,0,784,30652
1727143442,31725,619,30321,0,784,30661
1727143443,31725,618,30321,0,784,30661
1727143444,31725,620,30320,0,784,30659
1727143445,31725,620,30320,0,784,30659
1727143446,31725,622,30318,0,784,30658
1727143447,31725,622,30318,0,784,30657
1727143448,31725,622,30318,0,784,30657
1727143449,31725,622,30318,0,784,30657
1727143450,31725,623,30317,0,784,30657
1727143452,31725,622,30317,0,784,30657
1727143453,31725,624,30316,0,784,30655
1727143454,31725,623,30316,0,784,30656
1727143455,31725,622,30318,0,784,30657
1727143456,31725,622,30317,0,784,30657
1727143457,31725,622,30317,0,784,30657
1727143458,31725,621,30318,0,784,30658
1727143459,31725,622,30318,0,784,30657
1727143460,31725,622,30317,0,784,30657
1727143461,31725,623,30317,0,784,30657
1727143462,31725,622,30318,0,784,30657
1727143463,31725,624,30315,0,784,30655
1727143464,31725,623,30317,0,784,30657
1727143465,31725,623,30316,0,784,30656
1727143466,31725,622,30317,0,784,30657
1727143467,31725,624,30316,0,784,30655
1727143468,31725,624,30316,0,784,30655
1727143469,31725,624,30315,0,784,30655
1727143470,31725,623,30317,0,784,30656
1727143471,31725,623,30316,0,784,30656
1727143472,31725,623,30316,0,784,30656
1727143473,31725,623,30316,0,784,30656
1727143474,31725,623,30316,0,784,30656
1727143475,31725,622,30317,0,784,30657
1727143476,31725,624,30316,0,784,30655
1727143477,31725,625,30315,0,784,30655
1727143478,31725,623,30316,0,784,30656
1727143479,31725,624,30315,0,784,30655
1727143480,31725,624,30316,0,784,30655
1727143481,31725,626,30314,0,784,30653
1727143482,31725,625,30314,0,784,30654
1727143483,31725,625,30314,0,784,30654
1727143484,31725,625,30314,0,784,30654
1727143485,31725,634,30305,0,784,30645
1727143486,31725,664,30271,0,788,30615
1727143487,31725,672,30258,0,793,30607
1727143488,31725,681,30247,0,795,30597
1727143489,31725,681,30247,0,795,30598
1727143490,31725,680,30248,0,795,30599
1727143491,31725,741,30186,0,796,30538
1727143492,31725,792,30136,0,796,30487
1727143493,31725,821,30107,0,796,30458
1727143494,31725,829,30098,0,796,30449
1727143495,31725,830,30097,0,796,30449
1727143496,31725,792,30135,0,796,30486
1727143497,31725,807,30120,0,796,30472
1727143498,31725,789,30138,0,796,30489
1727143499,31725,789,30139,0,796,30490
1727143501,31725,789,30138,0,796,30490
1727143502,31725,788,30139,0,796,30490
1727143503,31725,789,30138,0,796,30490
1727143504,31725,789,30138,0,796,30489
1727143505,31725,789,30138,0,796,30490
1727143506,31725,790,30137,0,796,30489
1727143507,31725,789,30138,0,796,30490
1727143508,31725,1130,29796,0,798,30149
1727143509,31725,1128,29798,0,798,30150
1727143510,31725,1082,29810,0,832,30197
1727143511,31725,1137,29658,0,929,30141
1727143512,31725,1024,29664,0,1035,30255
1727143513,31725,1123,29468,0,1132,30156
1727143514,31725,920,29566,0,1237,30358
1727143515,31725,859,29470,0,1395,30419
1727143516,31725,868,29337,0,1519,30410
1727143517,31725,872,29216,0,1636,30407
1727143518,31725,939,29035,0,1749,30339
1727143519,31725,904,28943,0,1876,30374
1727143520,31725,869,28862,0,1992,30409
1727143522,31725,870,28738,0,2115,30408
1727143523,31725,876,28609,0,2238,30403
1727143524,31725,869,28512,0,2342,30409
1727143525,31725,879,28369,0,2475,30399
1727143526,31725,875,28258,0,2591,30404
1727143527,31725,880,28131,0,2713,30399
1727143528,31725,841,28103,0,2780,30438
1727143529,31725,827,28117,0,2780,30452
1727143530,31725,867,28076,0,2780,30411
1727143531,31725,879,28065,0,2780,30400
1727143532,31725,884,28060,0,2780,30395
1727143533,31725,908,28035,0,2780,30370
1727143534,31725,909,28034,0,2780,30369
1727143535,31725,909,28035,0,2780,30370
1727143536,31725,908,28035,0,2780,30371
1727143537,31725,918,28047,0,2759,30361
1727143538,31725,933,28011,0,2780,30346
1727143539,31725,934,28010,0,2780,30345
1727143540,31725,915,28029,0,2780,30364
1727143541,31725,965,27979,0,2780,30314
1727143542,31725,1090,27854,0,2780,30189
1727143543,31725,1183,27759,0,2781,30095
1727143544,31725,1197,28194,0,2332,30082
1727143546,31725,1278,28059,0,2387,30000
1727143547,31725,1280,28001,0,2442,29999
1727143548,31725,1218,28004,0,2501,30060
1727143549,31725,1390,27773,0,2561,29888
1727143550,31725,1380,27728,0,2616,29899
1727143551,31725,1349,27695,0,2679,29929
1727143552,31725,1294,27638,0,2791,29984
1727143553,31725,1249,27627,0,2848,30030
1727143555,31725,1241,27560,0,2922,30037
1727143556,31725,1305,27452,0,2967,29974
1727143557,31725,1357,27346,0,3020,29922
1727143558,31725,1378,27231,0,3114,29901
1727143559,31725,1265,27253,0,3205,30013
1727143560,31725,1298,27212,0,3213,29981
1727143562,31725,1544,26908,0,3272,29734
1727143563,31725,1786,26647,0,3291,29493
1727143564,31725,1863,26472,0,3389,29416
1727143565,31725,2123,26159,0,3442,29156
1727143567,31725,2337,25883,0,3504,28941
1727143568,31725,2437,25759,0,3528,28842
1727143569,31725,2331,25790,0,3602,28947
1727143570,31725,2039,26036,0,3648,29238
1727143572,31725,1968,26053,0,3702,29309
1727143573,31725,1787,26195,0,3742,29492
1727143574,31725,1686,26259,0,3779,29593
1727143576,31725,1630,26254,0,3840,29649
1727143577,31725,1722,26125,0,3876,29557
1727143578,31725,1779,26021,0,3924,29499
1727143579,31725,1772,25983,0,3968,29506
1727143581,31725,1744,25975,0,4005,29534
1727143582,31725,1740,25965,0,4019,29539
1727143584,31725,1724,25960,0,4039,29554
1727143586,31725,1655,26028,0,4040,29623
1727143588,31725,1594,26084,0,4045,29684
1727143589,31725,1557,26116,0,4050,29721
1727143591,31725,1470,26154,0,4099,29808
1727143592,31725,1448,26161,0,4115,29830
1727143593,31725,1423,26170,0,4130,29856
1727143594,31725,1450,26143,0,4131,29828
1727143595,31725,1382,26209,0,4133,29896
1727143596,31725,1376,26210,0,4138,29903
1727143597,31725,1744,25823,0,4156,29534
1727143598,31725,1918,25619,0,4186,29360
1727143599,31725,1936,25591,0,4196,29343
1727143600,31725,1785,25734,0,4204,29494
1727143601,31725,1857,25651,0,4215,29421
1727143603,31725,2082,25406,0,4236,29197
1727143604,31725,2011,25444,0,4268,29268
1727143605,31725,2066,25356,0,4302,29213
1727143606,31725,2097,25308,0,4319,29182
1727143607,31725,2111,25257,0,4356,29167
1727143608,31725,2121,25232,0,4371,29158
1727143609,31725,2154,25171,0,4399,29125
1727143611,31725,2208,25074,0,4441,29070
1727143612,31725,2462,24771,0,4491,28817
1727143613,31725,2415,24776,0,4533,28864
1727143614,31725,2420,24730,0,4574,28859
1727143615,31725,2399,24713,0,4612,28880
1727143616,31725,2413,24661,0,4649,28866
1727143617,31725,2476,24570,0,4678,28803
1727143619,31725,2421,24591,0,4712,28858
1727143620,31725,2427,24559,0,4738,28852
1727143621,31725,2429,24541,0,4754,28850
1727143622,31725,2448,24497,0,4778,28830
1727143623,31725,2485,24425,0,4813,28793
1727143624,31725,2472,24391,0,4860,28807
1727143625,31725,2463,24358,0,4902,28815
1727143627,31725,2474,24329,0,4921,28804
1727143628,31725,2541,24250,0,4933,28738
1727143629,31725,2538,24234,0,4951,28740
1727143630,31725,2551,24196,0,4977,28728
1727143631,31725,2552,24176,0,4996,28727
1727143632,31725,2567,24119,0,5038,28712
1727143633,31725,2562,24075,0,5087,28717
1727143635,31725,2562,24035,0,5126,28716
1727143636,31725,2570,23973,0,5181,28709
1727143637,31725,2570,23922,0,5232,28709
1727143638,31725,2596,23842,0,5286,28683
1727143639,31725,2554,23855,0,5314,28725
1727143640,31725,2567,23801,0,5356,28712
1727143642,31725,2561,23752,0,5411,28717
1727143643,31725,2559,23701,0,5464,28720
1727143644,31725,2576,23626,0,5523,28703
1727143645,31725,2566,23594,0,5563,28712
1727143646,31725,2573,23521,0,5629,28705
1727143647,31725,2544,23515,0,5665,28734
1727143649,31725,2557,23445,0,5721,28721
1727143650,31725,2555,23393,0,5775,28724
1727143651,31725,2549,23343,0,5832,28730
1727143652,31725,2565,23287,0,5872,28714
1727143653,31725,2566,23242,0,5915,28713
1727143654,31725,2547,23240,0,5937,28731
1727143655,31725,2568,23190,0,5965,28710
1727143656,31725,2565,23180,0,5979,28714
1727143657,31725,2565,23154,0,6006,28714
1727143658,31725,2566,23128,0,6030,28713
1727143659,31725,2562,23101,0,6060,28716
1727143660,31725,2553,23069,0,6102,28725
1727143661,31725,2557,23050,0,6117,28722
1727143662,31725,2555,23042,0,6126,28724
1727143663,31725,2559,23026,0,6139,28720
1727143664,31725,2559,23002,0,6163,28719
1727143665,31725,2562,22942,0,6220,28716
1727143666,31725,2547,22899,0,6277,28732
1727143667,31725,2555,22853,0,6316,28724
1727143668,31725,2550,22836,0,6337,28728
1727143669,31725,2543,22812,0,6368,28736
1727143670,31725,2506,22794,0,6423,28773
1727143671,31725,2499,22743,0,6482,28779
1727143672,31725,2483,22711,0,6529,28795
1727143673,31725,2468,22688,0,6567,28810
1727143674,31725,2457,22650,0,6617,28822
1727143675,31725,2415,22634,0,6674,28864
1727143676,31725,2357,22652,0,6715,28922
1727143677,31725,2325,22639,0,6759,28953
1727143678,31725,2314,22604,0,6806,28965
1727143679,31725,2320,22555,0,6848,28958
1727143680,31725,2292,22537,0,6895,28987
1727143681,31725,2274,22516,0,6934,29005
1727143682,31725,2216,22524,0,6983,29062
1727143683,31725,2162,22511,0,7051,29117
1727143684,31725,2077,22557,0,7090,29202
1727143685,31725,2012,22559,0,7152,29266
1727143686,31725,1899,22607,0,7218,29380
1727143687,31725,1822,22615,0,7287,29457
1727143688,31725,1729,22663,0,7331,29549
1727143689,31725,1643,22730,0,7351,29636
1727143690,31725,1634,22717,0,7372,29644
1727143691,31725,1613,22720,0,7391,29666
1727143692,31725,1523,22786,0,7415,29756
1727143694,31725,1442,22845,0,7437,29837
1727143695,31725,1309,22960,0,7454,29969
1727143696,31725,1302,22955,0,7467,29977
1727143697,31725,1281,22972,0,7470,29997
1727143698,31725,1269,22984,0,7471,30010
1727143699,31725,1250,23002,0,7471,30028
1727143700,31725,1238,23012,0,7473,30041
1727143701,31725,1238,23009,0,7477,30041
1727143702,31725,1243,23002,0,7479,30035
1727143703,31725,1215,23029,0,7479,30063
1727143704,31725,1216,23028,0,7479,30063
1727143705,31725,1217,23028,0,7479,30062
1727143706,31725,1215,23029,0,7479,30064
1727143707,31725,1215,23029,0,7479,30064
1727143708,31725,1218,23026,0,7480,30061
1727143709,31725,1216,23027,0,7480,30062
1727143710,31725,1218,23026,0,7480,30061
1727143711,31725,1219,23024,0,7480,30060
1727143712,31725,1220,23024,0,7480,30059
1727143713,31725,1221,23022,0,7480,30058
1727143714,31725,1219,23024,0,7480,30059
1727143715,31725,1219,23024,0,7480,30060
1727143716,31725,1220,23024,0,7480,30059
1727143717,31725,1219,23024,0,7480,30059
1727143718,31725,1220,23023,0,7480,30058
1727143719,31725,1222,23021,0,7480,30056
1727143720,31725,1221,23022,0,7480,30057
1727143721,31725,1221,23022,0,7480,30057
1727143722,31725,1220,23023,0,7480,30058
1727143723,31725,1221,23023,0,7480,30058
1727143724,31725,1220,23023,0,7480,30058
1727143725,31725,1221,23022,0,7480,30057
1727143726,31725,1222,23021,0,7480,30057
1727143727,31725,1221,23023,0,7480,30058
1727143728,31725,1221,23022,0,7480,30057
1727143729,31725,1221,23023,0,7480,30058
1727143730,31725,1222,23022,0,7480,30057
1727143731,31725,1221,23022,0,7480,30057
1727143732,31725,1222,23021,0,7480,30057
1727143733,31725,1221,23022,0,7480,30057
1727143734,31725,1223,23021,0,7480,30056
1727143735,31725,1223,23020,0,7480,30055
1727143736,31725,1222,23021,0,7480,30057
1727143737,31725,1221,23022,0,7480,30057
1727143738,31725,1222,23021,0,7480,30056
1727143739,31725,1221,23022,0,7480,30058
1727143740,31725,1221,23022,0,7480,30058
1727143741,31725,1222,23021,0,7480,30056
1727143743,31725,1222,23021,0,7480,30057
1727143744,31725,1222,23022,0,7480,30057
1727143745,31725,1223,23020,0,7480,30056
1727143746,31725,1222,23021,0,7480,30056
1727143747,31725,1223,23020,0,7480,30056
1727143748,31725,1222,23021,0,7480,30056
1727143749,31725,1222,23021,0,7480,30057
1727143750,31725,1223,23021,0,7480,30056
1727143751,31725,1220,23023,0,7480,30059
1727143752,31725,1220,23023,0,7480,30058
1727143753,31725,1222,23021,0,7480,30056
1727143754,31725,1220,23023,0,7480,30059
1727143755,31725,1220,23023,0,7480,30059
1727143756,31725,1220,23023,0,7480,30059
1727143757,31725,1220,23023,0,7480,30059
1727143758,31725,1220,23024,0,7480,30059
1727143759,31725,1220,23024,0,7480,30059
1727143760,31725,1219,23024,0,7480,30060
1727143761,31725,1221,23022,0,7480,30058
1727143762,31725,1221,23023,0,7480,30058
1727143763,31725,1221,23023,0,7480,30058
1727143764,31725,1220,23023,0,7480,30058
1727143765,31725,1220,23023,0,7480,30058
1727143766,31725,1221,23022,0,7480,30058
1727143767,31725,1220,23024,0,7480,30059
1727143768,31725,1219,23024,0,7480,30059
1727143769,31725,1220,23023,0,7480,30058
1727143770,31725,1221,23023,0,7480,30058
1727143771,31725,1220,23023,0,7480,30058
1727143772,31725,1221,23022,0,7480,30057
1727143773,31725,1222,23021,0,7480,30057
1727143774,31725,1222,23021,0,7480,30057
1727143775,31725,1221,23022,0,7480,30058
1727143776,31725,1222,23021,0,7480,30056
1727143777,31725,1222,23021,0,7480,30056
1727143778,31725,1222,23021,0,7480,30056
1727143779,31725,1221,23022,0,7480,30057
1727143780,31725,1223,23020,0,7480,30056
1727143781,31725,1222,23021,0,7480,30056
1727143782,31725,1222,23021,0,7480,30057
1727143783,31725,1222,23022,0,7480,30057
1727143784,31725,1221,23023,0,7480,30058
1727143785,31725,1221,23023,0,7480,30058
1727143786,31725,1222,23022,0,7480,30057
1727143787,31725,1223,23021,0,7480,30056
1727143789,31725,1222,23021,0,7480,30057
1727143790,31725,1222,23021,0,7480,30057
1727143791,31725,1222,23021,0,7480,30057
1727143792,31725,1222,23022,0,7480,30057
1727143793,31725,1222,23021,0,7480,30057
1727143794,31725,1222,23021,0,7480,30057
1727143795,31725,1222,23022,0,7480,30057
1727143796,31725,1221,23023,0,7480,30058
1727143797,31725,1222,23022,0,7480,30057
1727143798,31725,1220,23023,0,7480,30058
1727143799,31725,1221,23023,0,7480,30058
1727143800,31725,1222,23021,0,7480,30056
1727143801,31725,1221,23022,0,7480,30058
1727143802,31725,1221,23023,0,7480,30058
1727143803,31725,1221,23022,0,7480,30058
1727143804,31725,1221,23023,0,7480,30058
1727143805,31725,1222,23021,0,7480,30056
1727143806,31725,1231,23012,0,7480,30048
1727143807,31725,1222,23021,0,7480,30057
1727143808,31725,1223,23021,0,7480,30056
1727143809,31725,1223,23020,0,7480,30056
