timestamp,timestamp,T1,T2
1727143347,,8.827648,28.0492
1727143348,,9.096986,28.20913
1727143349,,9.131144,28.76855
1727143350,,9.485961,29.1738
1727143351,,9.450254,29.28887
1727143352,,9.257325,29.16242
1727143353,,9.35863,29.28477
1727143354,,9.031924,29.43163
1727143355,,9.189839,29.3084
1727143356,,8.945383,28.91945
1727143357,,8.832207,28.66998
1727143358,,9.025035,28.74331
1727143359,,9.164844,29.10197
1727143360,,9.129635,28.97512
1727143361,,8.985218,28.70019
1727143362,,9.25273,28.63791
1727143363,,9.247111,28.82497
1727143364,,8.972115,28.68517
1727143365,,9.160733,28.59407
1727143366,,8.99095,28.76376
1727143367,,8.971284,28.76888
1727143368,,9.125206,28.70469
1727143369,,9.096376,28.84391
1727143370,,8.899211,28.77295
1727143371,,9.371141,28.77881
1727143372,,9.23807,28.6253
1727143373,,9.01561,28.77103
1727143374,,8.84968,28.54068
1727143375,,8.842816,28.65048
1727143376,,8.864594,28.6731
1727143377,,8.9465,28.97562
1727143378,,9.143579,28.65146
1727143379,,9.271238,29.11364
1727143380,,8.956094,28.60894
1727143381,,9.19628,28.71383
1727143382,,9.090265,28.53239
1727143383,,9.389061,28.80112
1727143384,,8.955438,28.75816
1727143385,,8.966887,28.84936
1727143386,,9.08242,28.84123
1727143387,,9.264531,28.83924
1727143388,,9.308139,28.59121
1727143389,,9.415819,28.67334
1727143390,,9.15918,28.8508
1727143391,,9.220109,28.75617
1727143392,,8.980218,28.62894
1727143393,,8.982812,28.79884
1727143394,,9.360769,28.95362
1727143395,,9.271185,28.8321
1727143396,,9.167148,28.77582
1727143397,,9.047298,28.80311
1727143398,,8.799973,28.83443
1727143399,,9.111573,28.8205
1727143400,,9.019651,28.85551
1727143401,,9.065083,28.82382
1727143402,,8.842542,28.59735
1727143403,,8.738106,28.92195
1727143404,,8.886042,28.7509
1727143405,,9.063668,28.84139
1727143406,,9.141049,28.77285
1727143407,,9.204182,28.47485
1727143408,,9.093858,28.73244
1727143409,,9.651359,28.52132
1727143410,,9.464467,28.68513
1727143411,,9.324649,28.6728
1727143412,,9.027824,28.75162
1727143413,,8.989575,29.0249
1727143414,,9.125036,29.25077
1727143415,,9.336236,29.26826
1727143416,,9.444252,29.33249
1727143417,,9.252964,29.27687
1727143418,,8.890961,29.01564
1727143419,,9.318112,28.90269
1727143420,,9.268024,28.8918
1727143421,,9.222081,28.6755
1727143422,,9.072167,28.45302
1727143423,,9.231058,28.78656
1727143424,,9.183809,28.19088
1727143425,,9.004939,28.68278
1727143426,,9.208509,28.4222
1727143427,,9.209253,28.79616
1727143428,,9.163269,28.35114
1727143429,,8.767583,28.702
1727143430,,8.761146,28.66047
1727143431,,9.225349,28.92579
1727143432,,9.149043,28.56997
1727143433,,9.047113,28.86399
1727143434,,9.203405,28.71268
1727143435,,9.204446,28.54872
1727143436,,8.803974,28.77559
1727143437,,9.044549,28.74589
1727143438,,8.772184,28.85327
1727143439,,8.853268,28.8705
1727143440,,9.254984,28.83584
1727143441,,9.23406,28.84097
1727143442,,9.001818,28.72846
1727143443,,8.977389,28.6304
1727143444,,8.972712,28.679
1727143445,,8.651724,28.74661
1727143446,,9.263556,28.88611
1727143447,,8.766115,28.90877
1727143448,,8.781702,28.69444
1727143449,,8.890186,28.89594
1727143450,,9.249675,28.79434
1727143451,,9.553583,28.96206
1727143452,,8.938558,28.86349
1727143453,,9.091521,28.93263
1727143454,,9.094841,29.01873
1727143455,,9.504598,28.76971
1727143456,,9.243263,29.0785
1727143457,,9.063561,29.20831
1727143458,,8.970596,29.30566
1727143459,,8.956472,28.91945
1727143460,,9.101515,29.01946
1727143461,,9.394563,28.79723
1727143462,,9.055659,28.78907
1727143463,,9.402412,28.91779
1727143464,,9.464764,28.89083
1727143465,,9.458152,28.75754
1727143466,,9.327786,28.75331
1727143467,,8.935839,28.74528
1727143468,,9.011761,28.45302
1727143469,,9.229128,28.97428
1727143470,,9.373571,28.4886
1727143471,,9.362028,28.94951
1727143472,,9.258006,28.34473
1727143473,,8.798509,28.42543
1727143474,,9.207601,28.63542
1727143475,,8.873647,28.85318
1727143476,,9.296739,29.3228
1727143477,,9.110252,29.19147
1727143478,,9.092283,29.15954
1727143479,,9.185952,29.49623
1727143480,,9.408566,29.38073
1727143481,,9.528532,29.22671
1727143482,,9.56081,29.08289
1727143483,,9.167755,28.70594
1727143484,,9.134834,28.68622
1727143485,,9.40536,28.48278
1727143486,,9.075646,28.78362
1727143487,,8.952269,28.46346
1727143488,,8.941071,28.39621
1727143489,,8.989374,28.48974
1727143490,,8.923618,28.59172
1727143491,,9.262402,28.64137
1727143492,,9.15869,28.61472
1727143493,,8.932893,28.56713
1727143494,,8.831888,28.81352
1727143495,,8.954659,29.064
1727143496,,9.259806,28.56003
1727143497,,9.246124,28.80758
1727143498,,8.758484,28.75667
1727143499,,9.042796,28.83741
1727143500,,9.020206,28.81354
1727143501,,8.762911,28.95135
1727143502,,9.027237,29.04985
1727143503,,9.204743,28.7993
1727143504,,9.324534,28.79748
1727143505,,9.329362,28.90277
1727143506,,9.216813,29.00967
1727143507,,8.955453,29.25827
1727143508,,9.286088,28.96441
1727143509,,8.828681,28.8984
1727143510,,9.054588,28.83174
1727143511,,8.991028,28.90602
1727143512,,9.016323,28.9094
1727143513,,8.988396,28.82239
1727143514,,8.925216,28.97333
1727143515,,8.791529,29.08294
1727143516,,9.020602,28.95005
1727143517,,8.828058,28.85807
1727143518,,9.120399,29.12871
1727143519,,8.970374,29.09353
1727143520,,8.804624,29.03975
1727143521,,8.782714,28.73128
1727143522,,9.03031,28.7712
1727143523,,9.412658,28.74875
1727143524,,9.27273,28.90793
1727143525,,9.146869,28.69575
1727143526,,9.316217,28.97043
1727143527,,8.976369,28.4003
1727143528,,8.968116,28.86149
1727143529,,9.025062,28.51746
1727143530,,9.062706,28.67818
1727143531,,9.229565,28.49492
1727143532,,9.265978,28.57795
1727143533,,9.033594,28.65827
1727143534,,9.174394,28.57741
1727143535,,9.229014,28.56858
1727143536,,9.000412,28.68676
1727143537,,8.986745,28.65029
1727143538,,8.658352,28.69285
1727143539,,10.29092,29.12735
1727143540,,13.22761,29.56564
1727143541,,23.34183,29.38564
1727143542,,23.58462,29.32672
1727143543,,24.11469,29.39253
1727143544,,31.52127,29.29394
1727143545,,27.94348,29.23608
1727143546,,16.52454,28.87596
1727143547,,17.19105,28.73145
1727143548,,25.07146,28.60159
1727143549,,24.95404,28.63935
1727143550,,25.25919,28.93648
1727143551,,25.46794,29.05372
1727143552,,25.08529,28.79086
1727143553,,24.5113,28.63804
1727143554,,24.13271,28.88544
1727143555,,22.29377,28.65261
1727143556,,22.34551,28.79351
1727143557,,22.55246,28.77433
1727143558,,22.5032,28.64835
1727143559,,22.96985,29.09927
1727143560,,23.08651,28.98333
1727143561,,17.90218,29.05036
1727143562,,14.37686,29.00304
1727143563,,23.65541,28.8941
1727143564,,24.01419,28.86526
1727143565,,24.55235,29.11021
1727143566,,23.64821,29.10629
1727143567,,25.72213,28.93309
1727143568,,25.71401,28.88261
1727143569,,25.65752,29.00268
1727143570,,25.55333,29.12826
1727143571,,25.47552,29.07281
1727143572,,25.82285,28.85534
1727143573,,25.80661,29.09437
1727143574,,25.65397,28.88661
1727143575,,25.73046,29.17023
1727143576,,25.77871,29.1182
1727143577,,25.76773,29.07344
1727143578,,25.58031,29.0011
1727143579,,25.88395,29.11634
1727143580,,25.76528,29.28733
1727143581,,25.92644,29.16276
1727143582,,25.90297,29.19028
1727143583,,25.71169,29.07783
1727143584,,26.70643,28.96423
1727143585,,26.64154,29.27468
1727143586,,27.09639,29.14004
1727143587,,26.86641,29.27536
1727143588,,27.13625,28.94934
1727143589,,26.9958,28.98232
1727143590,,26.66309,29.20349
1727143591,,26.57971,29.23394
1727143592,,25.41433,29.26294
1727143593,,23.88511,29.14322
1727143594,,23.10865,29.08596
1727143595,,21.94395,29.02318
1727143596,,24.51938,28.88853
1727143597,,24.26739,28.91148
1727143598,,24.96363,28.96801
1727143599,,24.91265,29.07075
1727143600,,24.87866,28.90493
1727143601,,26.58949,29.19725
1727143602,,32.07456,29.16582
1727143603,,24.68239,29.88278
1727143604,,29.68453,29.45757
1727143605,,24.39941,29.53656
1727143606,,23.95467,29.69951
1727143607,,22.62046,29.47334
1727143608,,23.01609,29.3477
1727143609,,21.57421,29.0411
1727143610,,20.61296,29.14258
1727143611,,21.91967,28.78342
1727143612,,22.91812,28.72717
1727143613,,22.35009,28.7889
1727143614,,22.35009,28.70841
1727143615,,21.07888,28.7275
1727143616,,21.23494,28.79235
1727143617,,21.33898,28.34056
1727143618,,21.79463,28.89244
1727143619,,21.50822,28.48599
1727143620,,21.50822,28.83903
1727143621,,20.40402,28.69262
1727143622,,21.0424,28.63896
1727143623,,22.00047,28.65537
