Timestamp,Total,Used,Free,Shared,Buffers,Available
1742812569,31725,1112,26923,0,3689,30151
1742812570,31725,1112,26922,0,3689,30150
1742812571,31725,1114,26921,0,3689,30149
1742812572,31725,1113,26921,0,3689,30149
1742812573,31725,1115,26920,0,3689,30148
1742812574,31725,1114,26920,0,3689,30148
1742812575,31725,1115,26919,0,3689,30147
1742812576,31725,1116,26919,0,3689,30147
1742812577,31725,1116,26919,0,3689,30147
1742812578,31725,1117,26918,0,3689,30146
1742812579,31725,1117,26917,0,3689,30145
1742812580,31725,1116,26918,0,3689,30146
1742812581,31725,1115,26920,0,3689,30148
1742812582,31725,1113,26922,0,3689,30150
1742812583,31725,1122,26913,0,3689,30141
1742812584,31725,1119,26915,0,3689,30143
1742812585,31725,1118,26917,0,3689,30145
1742812586,31725,1118,26916,0,3689,30145
1742812587,31725,1118,26916,0,3689,30145
1742812588,31725,1121,26913,0,3689,30142
1742812589,31725,1120,26915,0,3689,30143
1742812590,31725,1119,26916,0,3689,30144
1742812591,31725,1119,26915,0,3689,30143
1742812592,31725,1119,26915,0,3689,30143
1742812593,31725,1118,26916,0,3689,30144
1742812594,31725,1120,26915,0,3689,30143
1742812595,31725,1120,26915,0,3689,30143
1742812596,31725,1120,26914,0,3689,30143
1742812597,31725,1141,26893,0,3689,30121
1742812598,31725,1146,26889,0,3689,30117
1742812599,31725,1146,26889,0,3689,30117
1742812600,31725,1144,26890,0,3689,30118
1742812601,31725,1147,26887,0,3689,30116
1742812602,31725,1146,26888,0,3689,30116
1742812603,31725,1146,26889,0,3689,30117
1742812604,31725,1146,26888,0,3689,30117
1742812605,31725,1147,26888,0,3689,30116
1742812606,31725,1146,26888,0,3689,30117
1742812607,31725,1149,26885,0,3689,30113
1742812608,31725,1150,26884,0,3689,30113
1742812609,31725,1149,26886,0,3689,30125
1742812610,31725,1148,26886,0,3689,30126
1742812611,31725,1151,26884,0,3689,30125
1742812612,31725,1150,26885,0,3689,30126
1742812613,31725,1151,26884,0,3689,30125
1742812614,31725,1151,26884,0,3689,30125
1742812615,31725,1152,26883,0,3689,30123
1742812617,31725,1154,26881,0,3689,30122
1742812618,31725,1154,26881,0,3689,30122
1742812619,31725,1149,26886,0,3689,30126
1742812620,31725,1152,26883,0,3689,30124
1742812621,31725,1150,26884,0,3689,30125
1742812622,31725,1151,26884,0,3689,30125
1742812623,31725,1163,26871,0,3689,30112
1742812624,31725,1162,26873,0,3689,30114
1742812625,31725,1164,26871,0,3689,30112
1742812626,31725,1165,26870,0,3689,30111
1742812627,31725,1165,26869,0,3689,30110
1742812628,31725,1165,26869,0,3689,30110
1742812629,31725,1167,26867,0,3689,30108
1742812630,31725,1168,26867,0,3689,30108
1742812631,31725,1171,26863,0,3689,30106
1742812632,31725,1168,26867,0,3689,30110
1742812633,31725,1168,26867,0,3689,30110
1742812634,31725,1169,26866,0,3689,30109
1742812635,31725,1170,26865,0,3689,30108
1742812636,31725,1169,26892,0,3663,30109
1742812637,31725,1170,26891,0,3663,30108
1742812638,31725,1168,26892,0,3663,30109
1742812639,31725,1170,26891,0,3663,30108
1742812640,31725,1168,26893,0,3663,30109
1742812641,31725,1170,26891,0,3663,30108
1742812642,31725,1169,26892,0,3663,30110
1742812643,31725,1169,26892,0,3663,30112
1742812644,31725,1168,26892,0,3663,30112
1742812645,31725,1168,26893,0,3663,30113
1742812646,31725,1168,26893,0,3663,30113
1742812647,31725,1169,26892,0,3663,30112
1742812648,31725,1168,26893,0,3663,30113
1742812649,31725,1168,26893,0,3663,30113
1742812650,31725,1168,26893,0,3663,30113
1742812651,31725,1166,26895,0,3663,30115
1742812652,31725,1167,26894,0,3663,30114
1742812653,31725,1167,26893,0,3663,30113
