Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1742812569,128,0,0,128,0,0,0,0
1742812570,128,0,0,128,0,0,0,0
1742812571,128,0,0,128,0,0,0,0
1742812572,128,0,0,128,0,0,0,0
1742812573,128,0,0,128,0,0,0,0
1742812574,128,0,0,128,0,0,0,0
1742812575,128,0,0,128,0,0,0,0
1742812576,128,0,0,128,0,0,0,0
1742812577,128,0,0,128,0,0,0,0
1742812578,128,0,0,128,0,0,0,0
1742812579,128,0,0,128,0,0,0,0
1742812580,128,0,0,128,0,0,0,0
1742812581,128,0,0,128,0,0,0,0
1742812582,128,0,0,128,0,0,0,0
1742812583,128,0,0,128,0,0,0,0
1742812584,128,0,0,128,0,0,0,0
1742812585,128,0,0,128,0,0,0,0
1742812586,128,0,0,128,0,0,0,0
1742812587,128,0,0,128,0,0,0,0
1742812588,128,0,0,128,0,0,0,0
1742812589,128,0,0,128,0,0,0,0
1742812591,128,0,0,128,0,0,0,0
1742812592,128,0,0,128,0,0,0,0
1742812593,128,0,0,128,0,0,0,0
1742812594,128,0,0,128,0,0,0,0
1742812595,128,0,0,128,0,0,0,0
1742812596,128,0,0,128,0,0,0,0
1742812597,128,0,0,128,0,0,0,0
1742812598,128,0,0,128,0,0,0,0
1742812599,128,0,0,128,0,0,0,0
1742812600,128,0,0,128,0,0,0,0
1742812601,128,0,0,128,0,0,0,0
1742812602,128,0,0,128,0,0,0,0
1742812603,128,0,0,128,0,0,0,0
1742812604,128,0,0,128,0,0,0,0
1742812605,128,0,0,128,0,0,0,0
1742812606,128,0,0,128,0,0,0,0
1742812607,128,0,0,128,0,0,0,0
1742812608,128,0,0,128,0,0,0,0
1742812609,128,0,0,128,0,0,0,0
1742812610,128,0,0,128,0,0,0,0
1742812611,128,0,0,128,0,0,0,0
1742812613,128,0,0,128,0,0,0,0
1742812614,128,0,0,128,0,0,0,0
1742812615,128,0,0,128,0,0,0,0
1742812616,128,0,0,128,0,0,0,0
1742812617,128,0,0,128,0,0,0,0
1742812618,128,0,0,128,0,0,0,0
