timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1724843777,,5.903138,20.96463,8.345499,31.29479,29.51264
1724843778,,3.62219,20.97091,8.591765,30.86074,29.39184
1724843779,,0.905547,20.99603,8.153208,31.02327,29.31649
1724843780,,0,21.07197,8.021149,30.77634,28.97172,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843781,,4.469838,21.04115,7.927943,30.14352,28.58991,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843782,,0,20.91788,7.865807,29.8491,27.95417,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843783,,4.317244,21.0705,8.062675,30.11999,28.83559,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843784,,0.863449,21.0451,7.977447,30.07655,28.59751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843785,,0,21.007,8.126837,30.14264,28.29033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843786,,4.270385,21.24382,8.226429,30.27407,28.52736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843787,,0,21.20459,8.10355,30.34802,28.66588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843788,,4.385227,21.19151,7.953431,30.40575,28.78557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843789,,0,21.09453,8.108438,30.21096,28.60094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843790,,3.764197,21.07913,10.56735,30.38612,28.67343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843791,,7.108435,21.07528,13.12196,30.62827,28.85634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843792,,10.63013,21.2078,10.9276,30.56605,28.84007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843793,,12.15618,21.19406,8.782491,30.4932,28.7902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843794,,4.835138,21.22762,8.098651,30.54185,28.84256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843795,,0,21.36183,8.223435,30.36023,28.5918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843796,,1.037103,21.20225,8.413502,30.58937,28.94199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843797,,5.185517,21.12546,8.030955,30.56787,28.69674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843798,,0,21.01029,8.108444,30.41746,28.44102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843799,,4.67074,21.17419,8.224678,30.2855,28.3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843800,,0,21.18875,8.163265,30.43027,28.45834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724843801,,3.198822,21.20331,8.072828,30.39754,28.51298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
