timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1725503775,,0,21.0433,9.345254,30.43731,27.96704
1725503776,,4.126073,21.28805,8.446529,30.15238,27.75486
1725503777,,0,21.26206,8.244586,30.44092,28.59164
1725503778,,1.108865,21.21354,8.276011,30.07902,28.2562,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503779,,3.548368,21.14076,8.323152,30.32918,27.95471,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503780,,0,20.95447,7.982162,30.28336,28.09795,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503781,,3.204204,21.04903,8.36062,31.34832,28.35659,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503782,,1.001314,21.07267,8.284594,30.29838,28.43123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503783,,0,21.05398,8.170555,30.84702,28.65965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503784,,4.050576,20.96635,8.073207,30.59667,28.71055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503785,,0,20.96635,8.355119,30.45502,28.35242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503786,,0,21.12851,8.142206,30.72418,28.41792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503787,,3.98107,20.88398,8.061769,30.64217,28.76355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503788,,0,20.94478,8.30779,30.61748,28.81927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503789,,4.203681,21.18799,8.19691,30.91672,28.82721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503790,,0,21.22977,8.031981,30.83441,28.72381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503791,,0,21.16105,7.964746,30.93461,28.63464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503792,,3.778205,20.9549,7.860741,30.92175,28.78251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503793,,0,21.29417,8.022391,31.12375,28.74589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503794,,1.683212,21.20333,8.134247,31.15986,28.8708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503795,,2.524818,21.14278,8.180989,31.2599,28.92913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503796,,0,21.34004,8.251103,31.02889,28.95035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503797,,3.886608,21.173,7.950929,31.17671,28.78177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503798,,0,21.11732,8.191171,31.09659,29.08154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503799,,2.400674,21.55101,8.711359,31.0723,29.05962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503800,,2.880809,21.43271,9.058149,31.04373,28.8971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503801,,0,21.41352,8.25427,31.07211,28.69706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503802,,3.813818,21.33673,7.999196,30.95794,29.01437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503803,,0,21.24594,8.078015,30.8888,28.97763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503804,,0,21.29683,8.107218,30.78132,28.91578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503805,,3.940191,21.34771,8.145215,31.24581,28.78541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503806,,0,21.21724,7.965724,30.9143,28.86997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503807,,3.038404,21.16715,8.125847,30.90871,29.01386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503808,,1.620482,21.13376,8.231985,30.9714,28.90543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503809,,0,21.47077,8.331146,30.75254,29.06771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503810,,4.116606,21.24887,8.13116,30.84146,29.05612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503811,,0,21.24887,8.252239,30.8144,28.78908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503812,,1.622036,21.33103,8.282504,30.65278,28.74213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503813,,3.244072,21.20313,8.302682,30.67694,28.78788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503814,,0,21.19574,8.169517,30.64747,28.77215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503815,,2.973183,21.18465,7.899226,30.51134,28.64004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503816,,0.743296,20.91942,8.09048,30.29516,28.56348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503817,,0,21.09571,8.127817,30.54112,28.73977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503818,,4.316521,21.36013,8.08591,30.28783,28.65989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503819,,0,21.12562,8.098813,30.60269,28.63984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503820,,3.893958,21.03756,7.865792,30.32201,28.60992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503821,,0,20.97885,7.991332,30.39818,28.47679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503822,,0,21.16224,8.267025,30.09772,28.53678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503823,,4.202864,21.14847,8.229704,30.06492,28.6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503824,,0,21.14847,7.988713,30.50263,28.64671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503825,,4.067902,20.8909,8.093348,30.41945,28.57029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503826,,6.376503,21.29889,8.60409,30.15185,28.68245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503827,,5.211062,21.24354,9.66546,30.50172,28.81221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503828,,0,21.02215,8.272936,30.68303,28.64573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503829,,4.347624,20.72503,7.9835,31.05857,29.2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503830,,0,20.77754,8.127865,31.0644,29.12497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503831,,3.903116,20.98756,8.27223,31.16251,29.37333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503832,,4.878895,21.21688,8.629099,31.33971,29.44615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503833,,7.635552,21.04235,12.86175,31.2135,29.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503834,,6.942869,20.78056,11.97253,31.37094,29.19453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503835,,2.68479,21.05493,11.61049,31.05143,28.94433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503836,,1.252609,21.25933,8.331433,30.99684,28.70676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503837,,4.008349,21.32746,9.200454,30.67111,28.97141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503838,,0,21.26427,8.719434,30.53367,28.53587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503839,,5.405887,21.0877,8.337379,30.6968,28.61778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503840,,0,21.04356,8.201784,30.53749,28.72183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503841,,4.610101,20.97962,8.678223,30.59393,28.78193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503842,,0.92202,21.60842,8.321632,30.76231,28.97911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503843,,2.869407,21.54317,8.236973,30.82145,29.00756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503844,,4.782345,21.28219,10.51403,30.64583,28.58868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503845,,2.869407,20.92852,11.08329,30.60506,28.62904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725503846,,4.359271,21.02478,8.150306,30.53367,28.80907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
