timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1725518597,,5.920446,21.20798,8.021644,29.80487,27.73714
1725518598,,5.920446,20.90194,8.50601,30.03324,28.20645
1725518599,,4.32751,21.03247,8.319751,30.08252,28.01194
1725518600,,0,21.0651,8.291132,29.98881,27.91035,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518601,,1.69549,20.97221,8.264344,30.02228,27.88949,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518602,,3.179043,21.22527,8.183982,30.12877,27.91661,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518603,,1.264946,21.22527,8.253261,30.24016,28.39248,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518604,,6.324729,21.07903,8.238486,30.26541,28.59246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518605,,0,21.43235,8.122252,30.0058,28.53402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518606,,4.109287,21.50856,8.044764,30.10002,28.33431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518607,,0,21.62288,7.949211,30.13068,28.29337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518608,,1.143799,20.94363,8.115115,30.2003,28.44721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518609,,3.660156,20.92443,8.170942,30.24299,28.33191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518610,,0,20.91162,8.184898,30.43225,28.44204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518611,,4.105474,21.22615,8.297361,30.25354,28.20992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518612,,0,21.2963,8.236082,30.23446,28.3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518613,,0.915473,21.31383,8.156525,30.09102,28.3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518614,,4.577363,20.93908,8.109101,30.1499,28.30024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518615,,0,20.81336,7.96683,30.10638,28.26055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518616,,4.174678,20.81336,7.944972,30.42919,28.23815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518617,,0.834936,21.12807,8.122703,30.46568,28.3128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518618,,0,21.53937,8.104885,30.17011,28.60502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518619,,4.143918,21.51834,8.078158,30.47165,28.65202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518620,,3.107938,21.43424,8.722556,30.28193,28.3863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518621,,4.703013,21.24665,8.151215,30.24035,28.16395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518622,,0,21.22292,8.095489,30.10974,28.28714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518623,,4.487681,21.2071,8.058339,30.10126,28.15572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518624,,0,21.22182,8.103181,30.14016,28.41656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518625,,2.585174,21.21701,8.234124,30.22912,28.28666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518626,,2.585174,21.2138,8.17029,30.29337,28.65146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725518627,,0,21.23578,8.15433,30.19834,28.63804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
