timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1724930786,,3.793092,21.0538,9.596598,29.6993,27.58619
1724930787,,3.452439,21.0538,8.875882,29.75217,27.77279
1724930788,,3.004999,20.93375,8.155166,30.11433,28.1641
1724930789,,0,21.2108,8.057365,30.146,28.02458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930790,,4.014232,21.30439,8.29882,30.2771,27.84816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930791,,0,21.44478,8.192616,30.05119,28.18961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930792,,0,21.22924,8.166065,30.11963,28.11923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930793,,3.970422,21.16109,7.977983,30.0489,27.9273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930794,,0,21.11566,8.094794,30.09984,28.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930795,,0.977477,20.94277,8.020975,30.19852,28.61858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930796,,3.127926,20.93721,8.002521,30.22538,28.19675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930797,,0,20.93581,8.050069,29.98779,28.19358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930798,,3.8449,20.98834,8.133416,30.23215,28.58724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930799,,0.76898,21.06841,8.059603,30.16355,28.40645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930800,,0,21.06841,8.041149,29.92604,28.26218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930801,,3.824405,20.99533,8.052974,30.14777,28.21835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930802,,0,21.06258,8.121256,30.85907,28.26604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930803,,0,21.01472,8.042928,30.23001,28.41545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930804,,3.861694,20.8233,8.042258,30.21025,28.64647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930805,,0,21.05624,8.098998,30.19674,28.82928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930806,,2.647684,21.13584,8.26331,30.26425,28.4666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930807,,4.412806,21.25524,12.2698,30.49695,28.52476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724930808,,5.765241,21.09698,12.55935,30.49342,28.52801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
