timestamp,description,server,switch,master,T1,T2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1724849404,,5.347003,21.06536,9.151621,29.68178,27.73596
1724849405,,6.991396,21.23949,9.604117,29.82814,27.59699
1724849406,,2.796558,21.23949,8.169116,30.1035,28.16585
1724849407,,4.042378,20.95636,7.932023,29.79171,28.23423,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849408,,0,20.82432,8.086389,29.85467,27.86984,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849409,,4.454464,20.88605,8.084025,29.90564,27.86287,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849410,,0,21.13297,8.074575,30.07277,28.01487,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849411,,0,21.21371,8.087541,30.08301,28.0558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849412,,4.164048,21.19891,8.0917,29.93493,28.18359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849413,,0,21.18412,8.082495,29.96325,27.94053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849414,,2.985473,20.85317,8.045673,30.18567,28.23026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849415,,1.592253,20.87181,7.786827,30.13466,28.18914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849416,,0,20.88423,7.99518,30.09481,28.49359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849417,,3.948738,20.98756,8.000294,30.451,28.59211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849418,,0,20.93785,8.020751,30.10758,28.34341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849419,,0.799154,20.92543,8.027402,30.1367,28.23159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849420,,3.995769,21.08678,8.35113,29.98533,28.23398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849421,,0,20.95877,8.2813,30.09065,28.4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849422,,2.449092,20.95877,8.00198,30.03694,28.51113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849423,,1.632728,20.88783,8.244548,30.07109,28.42801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849424,,0,20.94578,8.109982,29.96644,28.63918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849425,,4.173918,20.94578,8.172905,30.14689,28.45205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849426,,0,21.03393,8.235828,30.33851,28.55531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849427,,0.810221,20.89732,7.999736,30.22271,28.74315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849428,,4.051104,21.0201,8.205194,30.02534,28.87047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849429,,0,21.20428,8.091178,30.00795,28.4443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849430,,2.259901,21.11077,7.97716,30.07708,28.77747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849431,,1.5066,21.01704,8.098777,30.16461,28.73623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849432,,0,20.95456,8.188065,30.33044,28.52346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849433,,4.121275,20.9748,8.241675,30.17259,28.62809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849434,,0,21.12638,8.277416,30.11838,28.66851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849435,,0,21.17691,8.065869,30.08026,28.83159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849436,,3.859866,21.02864,8.12175,30.29462,28.78874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849437,,0,21.10868,8.041835,30.20741,28.60984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849438,,0.792008,21.12869,7.988558,30.25068,28.56938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849439,,3.960039,20.89433,8.322905,30.25657,28.62226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849440,,0,20.97661,7.941648,30.28943,28.76933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849441,,3.822355,21.01088,8.040206,30.16709,28.6382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849442,,0.764471,21.14795,8.064845,30.41638,28.71992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849443,,0,21.0711,8.246983,30.37263,28.3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849444,,3.838996,21.10935,8.218,30.36706,28.26082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849445,,0,21.16672,8.09989,30.18182,28.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849446,,0,21.1792,8.053283,30.29104,28.39885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849447,,3.728278,21.26247,7.98497,30.26757,28.49363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849448,,0,21.34575,8.138803,30.50354,28.68261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724849449,,0.951288,21.08059,8.052679,30.44887,28.74776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
